MinDate	MaxDate	Denomination	Authority	RIC	Mint	ModernCity	Region	Obverse	ObverseType	ObversePortrait	Reverse	ReverseType	Mintmark	Deity	Weight	Notes	ImagePrefix
240AD	241AD	Antoninianus	Gordian III	71	Rome	Rome	Italy	IMP GORDIANVS PIVS FEL AVG	"Radiate bust right, draped and cuirassed"	Gordian III	VIRTVS AVG 	"Virtus standing facing in military dress, head left, with shield & spear"	None	"Virtus standing left, holding olive branch, while leaning on shield and holding reversed spear. "	4.91		Gordian III.RIC71
125AD	128AD	Denarius	Hadrian	179	Rome	Rome	Italy	HADRIANVS AVGVSTVS	"Head of Hadrian, laureate, right"	Hadrian	COS III	"Pudicitia, veiled, draped, seated left, holding veil in right hand and placing left arm across body; globe in exergue"	None	Pudicitia	3.3		Hadrian.RIC179
79AD	79AD	Denarius	Vespasian	1062	Rome	Rome	Italy	IMP CAESAR VESPASIANVS AVG	"Head of Vespasian, laureate, right"	Vespasian	TR POT X COS VIIII	"Ceres, draped, seated left, holding corn-ears and poppy in right hand and torch upright in left"	None	Ceres	2.97	Retrograde obverse legend	Vespasian.RIC1062
351AD	355AD	AE17	Constantius II	361	Siscia	Sisak	Croatia	DN CONSTAN-TIVS PF AVG	"Pearl-diademed, draped and cuirassed bust right"	Constantius II	FEL TEMP-REPARATIO	"Soldier standing left, one knee raised, spearing fallen horseman who is unbearded, wearing a Phrygian helmet and reaching backwards. "	BSIS zigzag	None	1.41		Constantius II.RIC361
221AD	222AD	Denarius	Elagabalus	45	Rome	Rome	Italy	IMP ANTONINVS PIVS AVG	Laureate draped bust right	Elagabalus	PM TRP IIII COS III PP	Winged Victory flying left between two shields holding wreath with both hands. Star in right field/	None	Victoria	1.87	Very light in weight	Elagabalus.RIC45
167AD	168AD	Denarius	Marcus Aurelius	176	Rome	Rome	Italy	M ANTONINVS AVG PM PARTH MAX	Laureate head right 	Marcus Aurelius	TR P XXII IMP IIII COS III 	"Providentia standing left, holdiong scepter and pointing with rod to a globe at her feet"	None	Providentia	3.09	Iridescent  toning	Marcus Aurelius.RIC176
270AD	275AD	Antoninianus	Aurelian	308	Serdica	Sofia	Bulgaria	IMP AVRELIANVS AVG	"Radiate, cuirassed bust right seen from the back"	Aurelian	SOLI INVICTO	"Sol standing left, treading down one of two captives, holding globe and raising right hand."	XXIS	Sol Invictus	3.12		Aurelian.RIC308
361AD	363AD	AE3	Julian II	108	Sirmium	Sremska Mitrovica	Serbia	DN FL CL IVLIANVS PF AVG	"Helmeted and cuirassed bust right, holding spear forward and shield"	Julian II	VOT X MVLT XX 	Four lines across field within wreath	BSIRM	None	2.5	Dark toning	Julian II.RIC108
272AD	274AD	Antoninianus	Aurelian	56	Rome	Rome	Italy	IMP AVRELIANVS AVG	"Radiate, cuirassed bust right"	Aurelian	VIRT MILITVM	"Aurelian standing right on left, holding spear and globe, facing soldier to right, holding Victory and spear. T in exergue"	None	Victoria	3.38	Pleasant green patina	Aurelian.RIC56
260AD	268AD	Antoninianus	Gallienus	287	Rome	Rome	Italy	GALLIENVS AVG	Radiate head right	Gallienus	VBERITAS AVG	"Uberitas standing left, holding purse and cornucopiae; epsilon in right field"	None	Uberitas	2.58	Tinning present on coin	Gallienus.RIC287
272AD	275AD	Antoninianus	Aurelian	386	Antioch	Antakya	Turkey	IMP C AVRELIANVS AVG	"Radiate, curiassed bust right"	Aurelian	RESTITVT ORBIS	"Woman standing right, presenting wreath to Aurelian standing left, holding sceptre. Gamma mintmark in center"	XXI	None	4.43		Aurelian.RIC386
326AD	327AD	AE3	Constantine	200	Siscia	Sisak	Croatia	CONSTANTINVS AVG	Laureate head right 	Constantine	PROVIDENTIAE AVGG	Campgate with two turrets and one star above	dot BSIS dot	None	3.09		Constantine.RIC200
279AD	280AD	Antoninianus	Probus	666	Siscia	Sisak	Croatia	IMP PROBVS PF AVG	"Radiate, draped and cuirassed bust right"	Probus	CONCORDIA MILIT	Emperor standing right shaking hands with Concordia	XXIVI	Concordia	3.71	Silvered	Probus.RIC666
163AD	163AD	Denarius	Lucius Verus	491	Rome	Rome	Italy	IMP L VERVS AVG	Cuirassed bust right	Lucius Verus	PROV DEOR TR P III COS II	"Providentia standing left, holding globe and cornucopiae"	None	Providentia	3.4		Lucius Verus.RIC491
289AD	290AD	Antoninianus	Diocletian	263	Siscia	Sisak	Croatia	IMP CC VAL DIOCLETIANVS PF AVG	Radiate and cuirassed bust right	Diocletian	CONSERVATOR AVGG	"Diocletian and Jupiter, each holding a sceptre, standing facing each other by an altar. A in left field"	dot XXI dot I dot	Jupiter	3.14	Sacrificial  altar	Diocletian.RIC263
200AD	200AD	Denarius	Caracalla	30	Rome	Rome	Italy	ANTONINVS AVGVSTVS	"Laureate, draped and cuirassed bust right"	Caracalla	PONTIF TR P III	"Caracalla as Sol, standing facing head left, holding globe and reversed spear"	None	Sol	2.09		Caracalla.RIC30
329AD	330AD	AE3	Constantine II	107	Heraclea Perinthus	Marmara Ere_lisi	Turkey	CONSTANTINVS IVN NOB C	"Laureate, draped, and cuirassed bust right"	Constantine II	PROVIDENTIAE CAESS	"Campgate with two turrets, star above, star left"	SMHB	None	2.94	Scarce in RIC	Constantine II.RIC107
197AD	198AD	Denarius	Septimius Severus	119	Rome	Rome	Italy	L SEPT SEV PERT AVG IMP X	Laureate head right 	Septimius Severus	SALVTI AVGG	"Salus seated left, feeding a snake coiling up from an altar out of a patera; arm on side of throne"	None	Salus	3.71		Septimius Severus.RIC119
248AD	248AD	Tetradrachm	Philip the Arab	NaN	Antioch	Antakya	Turkey	AYTOK K M IOY_I _I_I__OC CEB	"Radiate, cuirassed bust left, breastplate decorated with a gorgoneion "	Philip the Arab	"_HMA_X E_OVCIAC Y_ATO _,"	"Eagle standing facing with wings spread, head right with wreath in its beak, ANTIOXIA SC below."	None	None	12.49	"My first coin, my wife gave to me on our wedding day"	Philip the Arab.prieur375
